species,Mean_top,Mean_bottom,SE_top,SE_bottom,diff,ratio,SE_ratio,SE_diff,diff_new,common_name
Junco hyemalis,0.11561748044991663,0.10103983868609498,2.561078472859745e-4,3.2899537676701554e-4,0.014577641763821647,0.8739148984470699,0.0034416010743590726,4.1692827605659767e-4,0.12608510155293007,Dark-eyed Junco
Larus delawarensis,0.17819614665629646,0.06685738664067029,4.154466998184019e-4,2.9816373644901223e-4,0.11133876001562618,0.37518985620729706,0.001888078797588656,5.113683350807297e-4,0.6248101437927029,Ring-billed Gull
Larus smithsonianus,0.06979486515299327,0.016474873725425172,3.2722122361604245e-4,1.1427760824095405e-4,0.053319991427568096,0.23604707437017836,0.0019762533578579935,3.4660222291562563e-4,0.7639529256298216,American Herring Gull
Leiothlypis peregrina,0.035402151748359895,0.006626317906741502,8.631359649683535e-5,3.6422313106315104e-5,0.028775833841618394,0.18717274457896432,0.0011254833566464752,9.368362627606256e-5,0.8128272554210356,Tennessee Warbler
Leiothlypis ruficapilla,0.04999907343754835,0.010417221486191263,1.0295539267788459e-4,5.1208414352842966e-5,0.039581851951357085,0.20834829067788543,0.0011104131360931287,1.149874540199489e-4,0.7916517093221146,Nashville Warbler
Lophodytes cucullatus,0.0585473802945961,0.030702796762571566,1.4369659482150617e-4,1.1727772064845123e-4,0.027844583532024535,0.5244094032573721,0.0023809902773590493,1.8547985099140089e-4,0.47559059674262794,Hooded Merganser
Mareca americana,0.02660811052053453,0.006125298149445566,7.33912363113875e-5,3.531657648703791e-5,0.020482812371088965,0.23020417570493895,0.0014713453513080367,8.144651092636639e-5,0.7697958242950611,American Wigeon
Mareca strepera,0.044138687460755326,0.011987994746463443,1.0493713665565371e-4,6.349461109407511e-5,0.032150692714291884,0.27159835138102445,0.0015767989167432364,1.226514096432454e-4,0.7284016486189755,Gadwall
Megaceryle alcyon,0.0799660286187472,0.02883566246586523,1.702877675162881e-4,9.814092096470847e-5,0.05113036615288197,0.36059890635990655,0.0014477177927129119,1.9654405138157333e-4,0.6394010936400935,Belted Kingfisher
Melanerpes carolinus,0.3410459104071888,0.17472648760664147,5.161199311237758e-4,5.330932232568134e-4,0.16631942280054732,0.5123254150681013,0.0017448352798417742,7.42002808610284e-4,0.48767458493189875,Red-bellied Woodpecker
Melanerpes erythrocephalus,0.032991623797679066,0.022384614795183416,1.9284180255521737e-4,2.1172007121318093e-4,0.01060700900249565,0.678493878702574,0.007543961836074149,2.8637972932325334e-4,0.32150612129742595,Red-headed Woodpecker
