common_name,N,time,Index,audio_index
Olive-sided Flycatcher,0.0027364642749258135,post,0.013157499999999999,0.04435207671710567
Orchard Oriole,0.018782095705172627,post,0.4832335,0.04871554226597115
Osprey,0.038967962044885125,post,0.1421265,0.00851742844105976
Ovenbird,0.0225847148924072,post,2.505493,0.16176342714703923
Peregrine Falcon,0.003909234678465448,post,0.0050565,0.00699219264224884
Pied-billed Grebe,0.0364091902553441,post,0.14501799999999998,0.00681801233634107
Pileated Woodpecker,0.052401513939975476,post,0.920057,0.04244650499286733
Pine Siskin,0.005881621266236651,post,0.012272000000000002,0.03943253632158446
Pine Warbler,0.01202978126055049,post,0.5124365,0.05248244527054935
Prairie Warbler,6.574621959237344e-4,post,0.003238,0.04845643841292862
Prothonotary Warbler,0.006450237219467989,post,0.042738,0.05103027780158429
Purple Finch,0.01128347282193436,post,0.074367,0.04275964326988073
Purple Martin,0.027631181477335322,post,2.0365604999999998,0.03718392462263244
Red Crossbill,4.442312134619827e-4,post,0.009732999999999999,0.35198578715112616
Red-bellied Woodpecker,0.2675871137409599,post,4.9895534999999995,0.03296822001857973
Red-breasted Nuthatch,0.02871510563818256,post,0.28486500000000003,0.05415821840910233
Red-eyed Vireo,0.09499440268671037,post,8.184906,0.13198029983222384
Red-headed Woodpecker,0.03493434262665032,post,0.6851265,0.0260037802852397
Red-necked Grebe,6.396929473852551e-4,post,0.019324,0.0036267774404857
Red-shouldered Hawk,0.009115624500239885,post,0.095541,0.02893985125648677
Red-tailed Hawk,0.07889546351084813,post,1.2720194999999999,0.00617140062134349
Red-winged Blackbird,0.505854967393429,post,209.80007899999998,0.03924195576205357
Redhead,0.016312170158324004,post,0.089423,0.00117422712370717
Ring-billed Gull,0.10860564706718553,post,11.755343,0.00681117015982962
Ring-necked Duck,0.029852337544645238,post,0.093779,0.00187665178670575
Ring-necked Pheasant,0.010341702649394957,post,12.538104,0.02297506912753186
Rock Pigeon,0.04145565684027223,post,57.8139945,0.00661650807700818
Rose-breasted Grosbeak,0.10471418163725855,post,6.680572,0.04822962906181839
Ruby-throated Hummingbird,0.08365762211916059,post,0.3776895,0.00756853635009332
Ruddy Duck,0.01384224461147538,post,0.027094,0.0013378379522612
Ruffed Grouse,0.0019013095936172859,post,0.063503,0.02673464718763277
Sandhill Crane,0.13895552357090818,post,18.7519445,0.02052362354585225
Savannah Sparrow,0.017858094781171705,post,6.0010285,0.03642121217589
Scarlet Tanager,0.026813796044565276,post,1.1551719999999999,0.06421782686873877
Sedge Wren,0.010075163921317767,post,1.746527,0.19474462518484817
Sharp-shinned Hawk,0.0033761572223110683,post,0.0149455,0.00844466435757875
Short-eared Owl,1.776924853847931e-4,post,0.0029825,0.00733389323270916
Song Sparrow,0.32867779021625176,post,38.199281,0.04787207476179113
Sora,0.01693409385717078,post,0.17388,0.06980392156862746
Spotted Sandpiper,0.02770225847148924,post,0.096471,0.01287676789662968
Swainson's Thrush,0.018586633971249357,post,0.007758,0.18071761096435637
Swamp Sparrow,0.06608383531460454,post,2.126055,0.05009222571389534
Tree Swallow,0.16818593741670665,post,8.074552,0.01217405746553728
Tufted Titmouse,0.14638306945999255,post,2.6997590000000002,0.09656906103067828
Turkey Vulture,0.1423139115446808,post,3.127828,3.9224349754960527e-4
Upland Sandpiper,8.529239298470068e-4,post,0.0444435,0.08217288070333055
Veery,0.01721840183378645,post,1.641401,0.21767444163819144
Vesper Sparrow,0.0053840823071592304,post,4.01518,0.04100730371272063
Virginia Rail,0.007569699877392185,post,0.021862,0.18681039069186464
Warbling Vireo,0.08443946905485367,post,9.380073,0.1130823312964058
Western Kingbird,1.0661549123087585e-4,post,0.0053575,0.01415547024952015
White-breasted Nuthatch,0.2661300353608046,post,4.387382,0.03932415006568085
White-eyed Vireo,0.0010483856637702792,post,0.014117999999999999,0.18229073891146988
White-throated Sparrow,0.05256143717682179,post,0.0779155,0.05287933691139813
Wild Turkey,0.064395756703449,post,6.432881,0.01357724223100088
Willow Flycatcher,0.021021021021021023,post,2.3462935,0.11422187849102004
Wilson's Phalarope,0.001670309362617055,post,0.004957,0.00170052454641777
Wilson's Snipe,0.00799616184231569,post,0.137626,0.01938294198005
Winter Wren,0.004939851093697247,post,0.052711499999999994,0.2165603785229377
Wood Duck,0.12747658901505055,post,1.919458,0.00806292863835717
