species,common_name,N,audio_index,time,Index
Mareca strepera,Gadwall,0.23869724329331177,-0.8193887261225908,post,0.011318000000000002
Megaceryle alcyon,Belted Kingfisher,0.374516752872562,-0.15161301559937404,post,0.2727885
Melanerpes carolinus,Red-bellied Woodpecker,0.5937340464965433,0.28510595008214845,post,4.9895534999999995
Melanerpes erythrocephalus,Red-headed Woodpecker,0.41415455501704224,0.11835196632494904,post,0.6851265
Meleagris gallopavo,Wild Turkey,0.546694802552954,-0.33830028646160387,post,6.432881
Melospiza georgiana,Swamp Sparrow,0.2207637334102859,0.5790637602567431,post,2.126055
Melospiza melodia,Song Sparrow,0.3746438555800573,0.5472075887281274,post,38.199281
Mergus merganser,Common Merganser,0.4059015541731664,-1.50575686858375,post,0.0040165
Mergus serrator,Red-breasted Merganser,0.3800123314485609,-2.580335147554955,post,5.170350282202523e-4
Mniotilta varia,Black-and-white Warbler,0.318045131118685,0.43344995551512794,post,0.268075
Molothrus ater,Brown-headed Cowbird,0.4561614104536946,0.18388225763787924,post,17.557875000000003
Myiarchus crinitus,Great Crested Flycatcher,0.3525676819605081,0.869085537083709,post,4.456440000000001
Nannopterum auritum,Double-crested Cormorant,0.4665707416155539,-1.8010570029558195,post,1.8399675
Oxyura jamaicensis,Ruddy Duck,0.2826574652201568,-1.9667124856364049,post,0.027094
Pandion haliaetus,Osprey,0.5134558046456995,-0.66595910501404465,post,0.1421265
Parkesia noveboracensis,Northern Waterthrush,0.21035885921934563,1.310892388630982,post,0.0668865
Passer domesticus,House Sparrow,0.8483946457738948,0.3783048071987633,post,88.9329885
Passerculus sandwichensis,Savannah Sparrow,0.2221288305346559,0.35510073382509666,post,6.0010285
Passerella iliaca,Fox Sparrow,0.3680497595333525,0.8370696156038613,post,0.02455887583196456
Passerina cyanea,Indigo Bunting,0.3173924673375851,0.8388957072311356,post,10.916274999999999
Pelecanus erythrorhynchos,American White Pelican,0.4478188377508765,-3.250143966937119,post,63.0836865
Petrochelidon pyrrhonota,Cliff Swallow,0.22616096111579215,0.00290473905127932,post,101.02237600000001
Phasianus colchicus,Ring-necked Pheasant,0.30446917102721255,0.031334125150656283,post,12.538104
Pheucticus ludovicianus,Rose-breasted Grosbeak,0.4652628196520069,0.5524365746452984,post,6.680572
Pipilo erythrophthalmus,Eastern Towhee,0.21084464543856565,1.2045924353530864,post,1.5722105
Piranga olivacea,Scarlet Tanager,0.2514669100096918,0.753626850249922,post,1.1551719999999999
Podiceps auritus,Horned Grebe,0.361535632454057,-1.9979262000828504,post,0.0010381673848755212
Podilymbus podiceps,Pied-billed Grebe,0.3524452501727524,-0.8223441775811061,post,0.14501799999999998
Poecile atricapillus,Black-capped Chickadee,0.7903894319381066,0.756388382073711,post,6.024968
Polioptila caerulea,Blue-gray Gnatcatcher,0.2040456650851074,0.4435979510546923,post,0.485463
Porzana carolina,Sora,0.27894046719129345,0.8122392157694601,post,0.17388
Progne subis,Purple Martin,0.2516583516295144,0.36966447006235104,post,2.0365604999999998
Quiscalus quiscula,Common Grackle,0.5339748043033211,0.1904075195456425,post,36.8260255
Regulus satrapa,Golden-crowned Kinglet,0.3076245388820266,0.6954867114112622,post,0.016437329647296106
Riparia riparia,Bank Swallow,0.18643854172443716,-0.3545062879646161,post,10.180913499999999
Sayornis phoebe,Eastern Phoebe,0.3560878895976939,0.10782402975384488,post,1.4122469999999998
Seiurus aurocapilla,Ovenbird,0.2362700018981796,1.4028259990101994,post,2.505493
Setophaga americana,Northern Parula,0.19905730520505063,0.778362702845911,post,0.028958499999999998
Setophaga coronata,Yellow-rumped Warbler,0.533403728206784,-0.06771793611872538,post,0.056581
Setophaga fusca,Blackburnian Warbler,0.23028805072027173,0.47804303820268645,post,0.0327635
Setophaga magnolia,Magnolia Warbler,0.3425439783912184,0.4569079269001738,post,0.014154
Setophaga palmarum,Palm Warbler,0.41325639831296873,-0.29930659475145655,post,0.00231363203513605
Setophaga pensylvanica,Chestnut-sided Warbler,0.2762299441243637,0.6930653012493441,post,0.55633
Setophaga petechia,Yellow Warbler,0.3420292073538039,0.5343980985326431,post,12.730335
Setophaga pinus,Pine Warbler,0.17624001620384022,0.6118190042048821,post,0.5124365
Setophaga ruticilla,American Redstart,0.37057893302333456,0.8087335324015125,post,3.1122965000000002
Setophaga striata,Blackpoll Warbler,0.2402717320344114,0.398585948993304,post,8.698182669487199e-4
Setophaga virens,Black-throated Green Warbler,0.21344589162377564,0.4456226112527847,post,0.115585
Sialia sialis,Eastern Bluebird,0.40813938455044,-0.3683607726972043,post,2.620431
Sitta canadensis,Red-breasted Nuthatch,0.616632321345699,0.6339057985489943,post,0.28486500000000003
Sitta carolinensis,White-breasted Nuthatch,0.680049362612145,0.40898959599572215,post,4.387382
Spatula clypeata,Northern Shoveler,0.33996032209485283,-1.6515873369561962,post,0.019715499999999997
Spatula discors,Blue-winged Teal,0.3826015320147496,-1.257224510604358,post,0.1235175
Sphyrapicus varius,Yellow-bellied Sapsucker,0.37844299675330895,0.05510019318928054,post,0.9097759999999999
Spinus pinus,Pine Siskin,0.6437950010292258,0.41092375245981905,post,0.012272000000000002
Spinus tristis,American Goldfinch,0.6698694340322369,0.1918024076846225,post,17.489413
Spiza americana,Dickcissel,0.3258206266811303,0.9502502909855306,post,7.0832075
Spizella pallida,Clay-colored Sparrow,0.25898171173228995,0.3690745259768011,post,0.917531
Spizella passerina,Chipping Sparrow,0.4513717194359499,0.5439050156191141,post,20.1375155
Spizella pusilla,Field Sparrow,0.26949250476862924,0.848783514485259,post,2.9400905
Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.23130411225704567,-0.24136693726929312,post,1.829805
Strix varia,Barred Owl,0.4772683303274241,0.945423052153794,post,0.101214
Sturnus vulgaris,European Starling,0.4744969854040979,-0.02390430507091671,post,108.61148299999999
Tachycineta bicolor,Tree Swallow,0.3700012787199183,-0.4149570783306604,post,8.074552
Thryothorus ludovicianus,Carolina Wren,0.2816103009798038,1.451263559061716,post,0.231759
Toxostoma rufum,Brown Thrasher,0.3493589419482361,0.7290381414448603,post,2.1937055
Turdus migratorius,American Robin,0.7413473653977877,0.4111876698462532,post,75.607186
Tyrannus tyrannus,Eastern Kingbird,0.3603302468174075,-0.30665699320671364,post,3.35403
Vermivora cyanoptera,Blue-winged Warbler,0.18447892754230644,0.9299311879190018,post,0.408215
Vireo flavifrons,Yellow-throated Vireo,0.19331591708245477,1.4070999306303655,post,2.2891215000000003
Vireo gilvus,Warbling Vireo,0.24745127163885444,1.151243527958994,post,9.380073
Vireo olivaceus,Red-eyed Vireo,0.33169809186873994,1.2598374902260576,post,8.184906
Zenaida macroura,Mourning Dove,0.6309299440697085,-0.38288638221003635,post,37.733053
Zonotrichia albicollis,White-throated Sparrow,0.5000620267769746,0.6171131445327823,post,0.0779155
Zonotrichia leucophrys,White-crowned Sparrow,0.5374502820406277,0.16385136214541451,post,0.08456754384107099
