species,common_name,N,audio_index,time
Eremophila alpestris,Horned Lark,0.12868027526200917,0.021109070472215316,post
Falco sparverius,American Kestrel,0.3079400424717907,-0.938543418208577,post
Fulica americana,American Coot,0.4460555433272864,-0.8492653421485331,post
Gallinago delicata,Wilson's Snipe,0.17402369732684453,-0.0881375785618742,post
Gavia immer,Common Loon,0.5597021654400671,-0.5369236131081473,post
Geothlypis trichas,Common Yellowthroat,0.3285855930055861,0.7982179919110536,post
Haemorhous mexicanus,House Finch,0.7813317170362339,0.22514620178276817,post
Haemorhous purpureus,Purple Finch,0.6869216512973548,0.46784549601618003,post
Haliaeetus leucocephalus,Bald Eagle,0.5611449212704688,-1.2912230243068328,post
Hirundo rustica,Barn Swallow,0.3374133724903263,-0.22851590129081611,post
Hydroprogne caspia,Caspian Tern,0.29764063957761694,-0.5505722767525719,post
Hylocichla mustelina,Wood Thrush,0.2308444475310461,1.9328977156335323,post
Icterus galbula,Baltimore Oriole,0.5424137634727707,0.16883110410543464,post
Icterus spurius,Orchard Oriole,0.32758323746712703,0.5594809210715957,post
Junco hyemalis,Dark-eyed Junco,0.9014308274995706,0.20037457132059397,post
Larus delawarensis,Ring-billed Gull,0.3278111746767044,-0.8230497296241944,post
Larus smithsonianus,American Herring Gull,0.24823255792715346,-0.87353275169846345,post
Leiothlypis peregrina,Tennessee Warbler,0.2922107221979181,0.7244930492853145,post
Leiothlypis ruficapilla,Nashville Warbler,0.32153231934534665,0.6907414437225299,post
Lophodytes cucullatus,Hooded Merganser,0.4819790845412058,-1.6888131532275288,post
Mareca americana,American Wigeon,0.23769589373274488,-0.9364837052593261,post
Mareca strepera,Gadwall,0.23869724329331174,-0.8193887261225908,post
Megaceryle alcyon,Belted Kingfisher,0.37451675287256203,-0.15161301559937404,post
Melanerpes carolinus,Red-bellied Woodpecker,0.5937340464965433,0.28510595008214845,post
Melanerpes erythrocephalus,Red-headed Woodpecker,0.41415455501704224,0.11835196632494903,post
Meleagris gallopavo,Wild Turkey,0.546694802552954,-0.33830028646160387,post
Melospiza georgiana,Swamp Sparrow,0.2207637334102859,0.5790637602567431,post
Melospiza melodia,Song Sparrow,0.3746438555800573,0.5472075887281274,post
Mergus merganser,Common Merganser,0.40590155417316637,-1.5057568685837501,post
Mergus serrator,Red-breasted Merganser,0.3800123314485609,-2.580335147554955,post
Mniotilta varia,Black-and-white Warbler,0.318045131118685,0.43344995551512794,post
Molothrus ater,Brown-headed Cowbird,0.4561614104536946,0.18388225763787924,post
Myiarchus crinitus,Great Crested Flycatcher,0.3525676819605081,0.869085537083709,post
Nannopterum auritum,Double-crested Cormorant,0.46657074161555395,-1.8010570029558195,post
Oxyura jamaicensis,Ruddy Duck,0.2826574652201568,-1.9667124856364047,post
Pandion haliaetus,Osprey,0.5134558046456995,-0.66595910501404465,post
Parkesia noveboracensis,Northern Waterthrush,0.21035885921934563,1.310892388630982,post
Passer domesticus,House Sparrow,0.8483946457738948,0.3783048071987633,post
Passerculus sandwichensis,Savannah Sparrow,0.2221288305346559,0.35510073382509666,post
Passerella iliaca,Fox Sparrow,0.36804975953335245,0.8370696156038613,post
Passerina cyanea,Indigo Bunting,0.3173924673375851,0.8388957072311356,post
Pelecanus erythrorhynchos,American White Pelican,0.4478188377508765,-3.250143966937119,post
Petrochelidon pyrrhonota,Cliff Swallow,0.22616096111579215,0.0029047390512793275,post
Phasianus colchicus,Ring-necked Pheasant,0.30446917102721255,0.031334125150656283,post
Pheucticus ludovicianus,Rose-breasted Grosbeak,0.4652628196520069,0.5524365746452984,post
Pipilo erythrophthalmus,Eastern Towhee,0.21084464543856563,1.2045924353530864,post
Piranga olivacea,Scarlet Tanager,0.2514669100096918,0.753626850249922,post
Podiceps auritus,Horned Grebe,0.361535632454057,-1.9979262000828504,post
Podilymbus podiceps,Pied-billed Grebe,0.3524452501727524,-0.8223441775811061,post
Poecile atricapillus,Black-capped Chickadee,0.7903894319381066,0.756388382073711,post
Polioptila caerulea,Blue-gray Gnatcatcher,0.2040456650851074,0.44359795105469235,post
Porzana carolina,Sora,0.27894046719129345,0.8122392157694601,post
Progne subis,Purple Martin,0.2516583516295144,0.36966447006235104,post
Quiscalus quiscula,Common Grackle,0.5339748043033211,0.1904075195456425,post
Regulus satrapa,Golden-crowned Kinglet,0.3076245388820266,0.6954867114112622,post
Riparia riparia,Bank Swallow,0.18643854172443716,-0.3545062879646161,post
Sayornis phoebe,Eastern Phoebe,0.3560878895976939,0.10782402975384488,post
Seiurus aurocapilla,Ovenbird,0.2362700018981796,1.4028259990101994,post
Setophaga americana,Northern Parula,0.19905730520505066,0.778362702845911,post
Setophaga coronata,Yellow-rumped Warbler,0.533403728206784,-0.06771793611872538,post
Setophaga fusca,Blackburnian Warbler,0.23028805072027173,0.47804303820268645,post
Setophaga magnolia,Magnolia Warbler,0.3425439783912184,0.4569079269001738,post
Setophaga palmarum,Palm Warbler,0.41325639831296873,-0.29930659475145655,post
Setophaga pensylvanica,Chestnut-sided Warbler,0.2762299441243637,0.6930653012493441,post
Setophaga petechia,Yellow Warbler,0.3420292073538039,0.5343980985326431,post
Setophaga pinus,Pine Warbler,0.17624001620384022,0.6118190042048821,post
Setophaga ruticilla,American Redstart,0.37057893302333456,0.8087335324015125,post
Setophaga striata,Blackpoll Warbler,0.2402717320344114,0.398585948993304,post
Setophaga virens,Black-throated Green Warbler,0.21344589162377564,0.4456226112527847,post
Sialia sialis,Eastern Bluebird,0.40813938455044,-0.36836077269720435,post
Sitta canadensis,Red-breasted Nuthatch,0.616632321345699,0.6339057985489943,post
Sitta carolinensis,White-breasted Nuthatch,0.680049362612145,0.40898959599572215,post
Spatula clypeata,Northern Shoveler,0.33996032209485283,-1.6515873369561962,post
Spatula discors,Blue-winged Teal,0.38260153201474956,-1.257224510604358,post
Sphyrapicus varius,Yellow-bellied Sapsucker,0.37844299675330895,0.05510019318928054,post
Spinus pinus,Pine Siskin,0.6437950010292258,0.41092375245981905,post
Spinus tristis,American Goldfinch,0.6698694340322369,0.1918024076846225,post
Spiza americana,Dickcissel,0.3258206266811303,0.9502502909855306,post
Spizella pallida,Clay-colored Sparrow,0.25898171173228995,0.3690745259768011,post
Spizella passerina,Chipping Sparrow,0.4513717194359499,0.5439050156191141,post
Spizella pusilla,Field Sparrow,0.26949250476862924,0.848783514485259,post
Spizelloides arborea,American Tree Sparrow,0.40244144898889395,0.018572249811996823,post
Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.23130411225704567,-0.24136693726929312,post
Strix varia,Barred Owl,0.4772683303274241,0.9454230521537939,post
Sturnella magna,Eastern Meadowlark,0.243888855568622,0.7458203472976725,post
Sturnus vulgaris,European Starling,0.47449698540409796,-0.023904305070916718,post
Tachycineta bicolor,Tree Swallow,0.3700012787199183,-0.4149570783306604,post
Thryothorus ludovicianus,Carolina Wren,0.2816103009798038,1.451263559061716,post
Toxostoma rufum,Brown Thrasher,0.3493589419482361,0.7290381414448603,post
Tringa flavipes,Lesser Yellowlegs,0.1933317466647328,-0.47606522635979415,post
Tringa melanoleuca,Greater Yellowlegs,0.18679720955986365,-0.16368022775851856,post
Tringa solitaria,Solitary Sandpiper,0.24067303826363695,-0.2704823820502621,post
Troglodytes aedon,Northern House Wren,0.45314798945002566,1.1198199022123632,post
Turdus migratorius,American Robin,0.7413473653977877,0.4111876698462532,post
Tyrannus tyrannus,Eastern Kingbird,0.36033024681740755,-0.30665699320671364,post
Vermivora cyanoptera,Blue-winged Warbler,0.18447892754230644,0.9299311879190018,post
Vireo flavifrons,Yellow-throated Vireo,0.19331591708245477,1.4070999306303655,post
Vireo gilvus,Warbling Vireo,0.24745127163885444,1.1512435279589939,post
Vireo olivaceus,Red-eyed Vireo,0.33169809186873994,1.2598374902260576,post
Zenaida macroura,Mourning Dove,0.6309299440697085,-0.38288638221003635,post
Zonotrichia albicollis,White-throated Sparrow,0.5000620267769746,0.6171131445327823,post
Zonotrichia leucophrys,White-crowned Sparrow,0.5374502820406277,0.16385136214541451,post
