audio_index,common_name,scientific_name
5.194265530853937e-4,Blue-billed Duck,Oxyura australis
0.004969630038652678,Musk Duck,Biziura lobata
0.006758513127112035,Australian Brushturkey,Alectura lathami
0,Wattled Brushturkey,Aepypodius arfakianus
0,Waigeo Brushturkey,Aepypodius bruijnii
0.42857142857142855,Red-billed Brushturkey,Talegalla cuvieri
0.25925925925925924,Yellow-legged Brushturkey,Talegalla fuscirostris
4,Red-legged Brushturkey,Talegalla jobiensis
0.013651877133105802,Malleefowl,Leipoa ocellata
0.0539568345323741,Maleo,Macrocephalon maleo
0,Moluccan Megapode,Eulipoa wallacei
0,Tongan Megapode,Megapodius pritchardii
0.17582417582417584,Micronesian Megapode,Megapodius laperouse
0.14634146341463414,Nicobar Megapode,Megapodius nicobariensis
0.07764705882352942,Philippine Megapode,Megapodius cumingii
0.4117647058823529,Sula Megapode,Megapodius bernsteinii
0.14285714285714285,Tanimbar Megapode,Megapodius tenimberensis
0.313953488372093,Dusky Megapode,Megapodius freycinet
0.16666666666666666,Biak Megapode,Megapodius geelvinkianus
0.3333333333333333,Melanesian Megapode,Megapodius eremita
0.14285714285714285,Vanuatu Megapode,Megapodius layardi
0.45454545454545453,New Guinea Megapode,Megapodius decollatus
0.037348586810228804,Orange-footed Megapode,Megapodius reinwardt
0.043591370558375635,Plain Chachalaca,Ortalis vetula
0.02429821913673408,Gray-headed Chachalaca,Ortalis cinereiceps
0.15456989247311828,Chestnut-winged Chachalaca,Ortalis garrula
0.13378803777544596,Rufous-vented Chachalaca,Ortalis ruficauda
0.09620991253644315,Rufous-headed Chachalaca,Ortalis erythroptera
0.06430868167202572,Rufous-bellied Chachalaca,Ortalis wagleri
0.0916613621896881,West Mexican Chachalaca,Ortalis poliocephala
0.0877970197341925,Chaco Chachalaca,Ortalis canicollis
0.17097581317764804,White-bellied Chachalaca,Ortalis leucogastra
0.07692307692307693,Colombian Chachalaca,Ortalis columbiana
0.09508196721311475,Speckled Chachalaca,Ortalis guttata
0.10317460317460317,East Brazilian Chachalaca,Ortalis araucuan
0.06775067750677506,Scaled Chachalaca,Ortalis squamata
0.38427947598253276,Variable Chachalaca,Ortalis motmot
0.09090909090909091,Chestnut-headed Chachalaca,Ortalis ruficeps
0.18181818181818182,Buff-browed Chachalaca,Ortalis superciliaris
0.14632237871674492,Band-tailed Guan,Penelope argyrotis
0.09510086455331412,Bearded Guan,Penelope barbata
0.015625,Baudo Guan,Penelope ortoni
0.05485632866302541,Andean Guan,Penelope montagnii
0.23711340206185566,Marail Guan,Penelope marail
0.05652535328345802,Rusty-margined Guan,Penelope superciliaris
0.07796610169491526,Red-faced Guan,Penelope dabbenei
0.19509345794392524,Spix's Guan,Penelope jacquacu
0.04447889339375149,Crested Guan,Penelope purpurascens
0.039486673247778874,Cauca Guan,Penelope perspicax
0.0759493670886076,White-winged Guan,Penelope albipennis
0.03819517313746065,Dusky-legged Guan,Penelope obscura
0.07313997477931904,Yungas Guan,Penelope bridgesi
0.12149532710280374,White-crested Guan,Penelope pileata
0.012345679012345678,Chestnut-bellied Guan,Penelope ochrogaster
0.024271844660194174,White-browed Guan,Penelope jacucaca
0.013636363636363636,Trinidad Piping-Guan,Pipile pipile
0.07309941520467836,Blue-throated Piping-Guan,Pipile cumanensis
0.013574660633484163,White-throated Piping-Guan,Pipile grayi
0.03508771929824561,Red-throated Piping-Guan,Pipile cujubi
0.02047244094488189,Black-fronted Piping-Guan,Pipile jacutinga
0.43231441048034935,Wattled Guan,Aburria aburri
0.012070916635231988,Black Guan,Chamaepetes unicolor
0.0279796511627907,Sickle-winged Guan,Chamaepetes goudotii
0.2792452830188679,Highland Guan,Penelopina nigra
0.03024390243902439,Horned Guan,Oreophasis derbianus
0.8469387755102041,Nocturnal Curassow,Nothocrax urumutum
0.13658536585365855,Crestless Curassow,Mitu tomentosum
0.3333333333333333,Salvin's Curassow,Mitu salvini
0.10121457489878542,Razor-billed Curassow,Mitu tuberosum
NA,Alagoas Curassow,Mitu mitu
0.7727272727272727,Helmeted Curassow,Pauxi pauxi
Inf,Sira Curassow,Pauxi koepckeae
0.2,Horned Curassow,Pauxi unicornis
0.014769506191257645,Great Curassow,Crax rubra
0.05331179321486268,Blue-billed Curassow,Crax alberti
0.15555555555555556,Yellow-knobbed Curassow,Crax daubentoni
0.11031175059952038,Black Curassow,Crax alector
0.26744186046511625,Wattled Curassow,Crax globulosa
0.03362968689601856,Bare-faced Curassow,Crax fasciolata
0.06746031746031746,Red-billed Curassow,Crax blumenbachii
0.01930688290375519,Helmeted Guineafowl,Numida meleagris
